MSOA code,MSOA name,LA code,LA name,reception sample size,reception obesity number,reception obesity prevalence(%),lower CI,upper CI,,year 6 sample size ,year 6 obesity number,year 6 obesity prevalence,lower CI 2,upper CI 2,,,,,,,all,suburban,urban
E02000001,City of London 001,E09000001,City of London,81,9,11.10%,6.00%,19.80%,,56,13,23.20%,14.10%,35.80%,,,,,,obese,10.6,9.5,10.9
E02000002,Barking and Dagenham 001,E09000002,Barking and Dagenham,359,48,13.40%,10.20%,17.30%,,254,61,24.00%,19.20%,29.60%,,,,,,not obese,89.4,90.5,89.1
E02000003,Barking and Dagenham 002,E09000002,Barking and Dagenham,401,49,12.20%,9.40%,15.80%,,313,75,24.00%,19.60%,29.00%,,,,,,,,,
E02000004,Barking and Dagenham 003,E09000002,Barking and Dagenham,208,30,14.40%,10.30%,19.80%,,138,29,21.00%,15.00%,28.60%,,,,,,,,,
E02000005,Barking and Dagenham 004,E09000002,Barking and Dagenham,475,53,11.20%,8.60%,14.30%,,363,88,24.20%,20.10%,28.90%,,,,,,,,,
E02000007,Barking and Dagenham 006,E09000002,Barking and Dagenham,502,81,16.10%,13.20%,19.60%,,370,95,25.70%,21.50%,30.40%,,,,,,,,,
E02000008,Barking and Dagenham 007,E09000002,Barking and Dagenham,657,91,13.90%,11.40%,16.70%,,421,115,27.30%,23.30%,31.80%,,,,,,,,,
E02000009,Barking and Dagenham 008,E09000002,Barking and Dagenham,502,66,13.10%,10.50%,16.40%,,348,104,29.90%,25.30%,34.90%,,,,,,,,,
E02000010,Barking and Dagenham 009,E09000002,Barking and Dagenham,512,51,10.00%,7.70%,12.90%,,355,89,25.10%,20.80%,29.80%,,,,,,,,,
E02000011,Barking and Dagenham 010,E09000002,Barking and Dagenham,295,34,11.50%,8.40%,15.70%,,235,59,25.10%,20.00%,31.00%,,,,,,,,,
E02000012,Barking and Dagenham 011,E09000002,Barking and Dagenham,433,48,11.10%,8.50%,14.40%,,374,95,25.40%,21.30%,30.00%,,,,,,,,,
E02000013,Barking and Dagenham 012,E09000002,Barking and Dagenham,463,56,12.10%,9.40%,15.40%,,354,83,23.40%,19.30%,28.10%,,,,,,,,,
E02000014,Barking and Dagenham 013,E09000002,Barking and Dagenham,492,82,16.70%,13.60%,20.20%,,347,86,24.80%,20.50%,29.60%,,,,,,,,,
E02000015,Barking and Dagenham 014,E09000002,Barking and Dagenham,437,58,13.30%,10.40%,16.80%,,287,77,26.80%,22.00%,32.20%,,,,,,,,,
E02000016,Barking and Dagenham 015,E09000002,Barking and Dagenham,479,69,14.40%,11.50%,17.80%,,296,71,24.00%,19.50%,29.20%,,,,,,,,,
E02000017,Barking and Dagenham 016,E09000002,Barking and Dagenham,388,42,10.80%,8.10%,14.30%,,283,70,24.70%,20.10%,30.10%,,,,,,,,,
